;this is a comment
;i love comments

+&B00 King's Pawn:          1.e4!!
+Stockfish:                 1.e4!! a6 2.d4!
Borg DEF:                   1.e4!! g5
+Stockfish:                 1.e4!! g5 2.Nc3!
Carr DEF:                   1.e4!! h6
+Stockfish:                 1.e4!! h6 2.d4!
B00 Corn Stalk DEF:         1.e4!! a5
+Stockfish:                 1.e4!! a5 2.d4!
B00 Lemming DEF:            1.e4!! Na6
+Stockfish:                 1.e4!! Na6 2.Nc3!
Goldsmith DEF:              1.e4!! h5
+Stockfish:                 1.e4!! h5 2.d4!
B00 Barnes DEF:             1.e4!! f6
+Stockfish:                 1.e4!! f6 2.d4!
A40 Queen's Pawn:           1.d4
+A45 Queen's pawn game:     1.d4 Nf6!
+E20 Nimzo-Indian DEF:      1.d4 Nf6! 2.c4!! e6!! 3.Nc3 Bb4!
&D00 Queen's Pawn Game:     1.d4 d5
+D30 Queen's GBT Declined:  1.d4 d5 2.c4! e6!
Filler:                     1.d4 d5 2.Nf3
D03 Torre ATK:              1.d4 d5 2.Nf3 Nf6 3.Bg4
Filler:                     1.d4 e6
Keres DEF:                  1.d4 e6 2.c4 Bb4+
English DEF:                1.d4 e6 2.c4 b6
A80 Dutch DEF:              1.d4 f5
A04 Reti OPN:               1.Nf3
+A05 Reti OPN:              1.Nf3 Nf6!
+Stockfish:                 1.Nf3 Nf6! 2.d4! e6! 3.c4! d5!
Argyle9K:                   1.Nf3 Nf6! 2.g3
+Stockfish:                 1.Nf3 Nf6! 2.g3 d5!
Spassky VAR:                1.Nf3 Nf6! 2.g3 b5
+Stockfish:                 1.Nf3 Nf6! 2.g3 b5 3.Bg2!
John Doe:                   1.Nf3 Nf6! 2.g4
+Stockfish:                 1.Nf3 Nf6! 2.g4 Nxg4! 3.c4!
John Doe:                   1.Nf3 Nf6! 2.g4 Nxg4! 3.Na3
+Stockfish:                 1.Nf3 Nf6! 2.g4 Nxg4! 3.Na3 e5! 4.d4!
John Doe:                   1.Nf3 Nf6! 2.g4 Nxg4! 3.Na3 e5! 4.b3
+Stockfish:                 1.Nf3 Nf6! 2.g4 Nxg4! 3.Na3 e5! 4.b3 e4! 5.Bg2 exf3!
&A06 Reti OPN:              1.Nf3 d5
+Stockfish:                 1.Nf3 d5 2.d4!
Reti OPN:                   1.Nf3 d5 2.c4
+Stockfish:                 1.Nf3 d5 2.c4 d4!
Reti OPN, GBT accepted:     1.Nf3 d5 2.c4 dxc4
+Stockfish:                 1.Nf3 d5 2.c4 dxc4 3.e3!
A10 English OPN:            1.c4
+Stockfish:                 1.c4 c5! 2.Nf3! Nc6! 3.Nc3! Nf6! 4.d4!
Jonesie9K:                  1.c4 c5! 2.Nf3! Nc6! 3.Nc3! Nf6! 4.a3
+Stockfish:                 1.c4 c5! 2.Nf3! Nc6! 3.Nc3! Nf6! 4.a3 g6! 5.d3 d5! 6.cxd5 Nxd5!
Jonesie9K:                  1.c4 c5! 2.Nf3! Nc6! 3.Nc3! Nf6! 4.a3 g6! 5.d3 d5! 6.h4
+Stockfish:                 1.c4 c5! 2.Nf3! Nc6! 3.Nc3! Nf6! 4.a3 g6! 5.d3 d5! 6.h4 dxc4!
Sonja:                      1.c4 c5! 2.Nf3! Nc6! 3.Nc3! Nf6! 4.h3
+Stockfish:                 1.c4 c5! 2.Nf3! Nc6! 3.Nc3! Nf6! 4.h3 e6! 5.Nh2 d5! 6.Nxd5 exd5!
Kendra9K:                   1.c4 c5! 2.Nf3! Nc6! 3.Nc3! Nf6! 4.h4
+Stockfish:                 1.c4 c5! 2.Nf3! Nc6! 3.Nc3! Nf6! 4.h4 e6!
+Stockfish:                 1.c4 c5! 2.Nf3! Nc6! 3.Nc3! Nf6! 4.h4 e6! 5.g3!
Kendra9K:                   1.c4 c5! 2.Nf3! Nc6! 3.Nc3! Nf6! 4.h4 e6! 5.b3
+Stockfish:                 1.c4 c5! 2.Nf3! Nc6! 3.Nc3! Nf6! 4.h4 e6! 5.b3 d5!
Carrie9K:                   1.c4 c5! 2.Nf3! Nc6! 3.d4
+Stockfish:                 1.c4 c5! 2.Nf3! Nc6! 3.d4 cxd4! 4.Qd2 e5! 5.Kd1 Nf6! 6.g3 d5! 7.Qe1 dxc4!
Sonja9K:                    1.c4 c5! 2.Nf3! Nc6! 3.g3
+Stockfish:                 1.c4 c5! 2.Nf3! Nc6! 3.g3 g6! 4.Bg2!
Sonja9K:                    1.c4 c5! 2.Nf3! Nc6! 3.g3 g6! 4.h3
+Stockfish:                 1.c4 c5! 2.Nf3! Nc6! 3.g3 g6! 4.h3 Bg7! 5.Bg2!
Sonja9K:                    1.c4 c5! 2.Nf3! Nc6! 3.g3 g6! 4.h3 Bg7! 5.h4
+Stockfish:                 1.c4 c5! 2.Nf3! Nc6! 3.g3 g6! 4.h3 Bg7! 5.h4 Nf6! 6.g4 Nxg4! 7.Bh3 d5! 8.Bxg4 Bxg4!
John Doe:                   1.c4 e6
+Stockfish:                 1.c4 e6 2.Nc3!
+Stockfish:                 1.c4 e6 2.Nc3! d5!
+Stockfish:                 1.c4 e6 2.Nc3! d5! 3.d4!
John Doe:                   1.c4 e6 2.Nc3! Nf6
+Stockfish:                 1.c4 e6 2.Nc3! Nf6 3.e4!
John Doe:                   1.c4 e6 2.Nc3! Nf6 3.d4
+Nimzo-Indian:              1.c4 e6 2.Nc3! Nf6 3.d4 Bb4!
Hungarian OPN:              1.g3
+Stockfish:                 1.g3 d5!
Bird's OPN:                 1.f4
+Stockfish:                 1.f4 d5!
From's GBT:                 1.f4 e5
+Stockfish:                 1.f4 e5 2.fxe5!
A01 Nimzovich-Larsen:       1.b3
+Stockfish:                 1.b3 e5!
A00 Dunst OPN:              1.Nc3
+Stockfish:                 1.Nc3 d5!
A00 Polish OPN:             1.b4
+Stockfish:                 1.b4 e5!
A00 Polish Tuebingen VAR:   1.b4 Nh6
+Stockfish:                 1.b4 Nh6 2.Bb2!
A00 Van't Kruijs OPN:       1.e3
+Stockfish:                 1.e3 e6!
A00 Mieses OPN:             1.d3
+Stockfish:                 1.d3 d5!

